subject,session,precue,intercept,slope,amplitude
1,1,1,0.530189722543582,0.0606898432597518,0.0221569909481332
1,1,2,0.48604571307078,0.101447118446231,0.0178846027702093
1,2,1,0.402034695282055,0.120004284661263,0.00860293510049814
1,2,2,0.396344018314267,0.130335870548151,0.0137553609965835
2,1,1,0.186173669993877,0.115517757833004,0.0109641440212727
2,1,2,0.28549717226997,-0.00533344456925988,0.0629185634898022
2,2,1,0.244047456886619,0.0255666724406183,0.0189935001544654
2,2,2,0.269570333883166,0.0617099702358246,0.0234189075417817
3,1,1,0.28145969286561,0.145262774080038,0.0356195885688066
3,1,2,0.302001078001922,0.105347031232668,0.0249343672694522
3,2,1,0.206549952621572,0.0437521561980247,0.0121226936171297
3,2,2,0.235226493168739,-0.0574016915052198,0.024802032057778
4,1,1,0.387524438556284,-0.0504572819918394,0.0290506356395781
4,1,2,0.370134405791759,-0.0458556488156319,0.0134299974888563
4,2,1,0.380922298878431,-0.0208754688501358,0.00514264777302742
4,2,2,0.343880254775286,0.0589138716459274,0.0183026641607285
5,1,1,0.157579339109361,-0.0427309907972813,0.0276366053149104
5,1,2,0.1357999779284,0.0200479552149773,0.0120752230286598
5,2,1,0.138982483185828,-0.00147807598114014,0.0182151105254889
5,2,2,0.181945166084915,-0.0698417946696281,0.0508016059175134
6,1,1,0.198150170966983,0.0923889130353928,0.0148657411336899
6,1,2,0.158599474780203,0.0849421610473655,0.0271745824502432
6,2,1,0.182000409404282,0.0414071636041626,0.0230023564945441
6,2,2,0.203111343900673,0.0381149300374091,0.0101958113955334
7,1,1,0.488246545544825,0.13132430287078,0.00277410133276135
7,1,2,0.501669954508543,0.0942172016948462,0.0435727653093636
7,2,1,0.496082069948898,0.154590880614705,0.0102517804480158
7,2,2,0.567350076045841,0.0527821648865938,0.0215001925826073
8,1,1,0.18812026638625,0.121382672805339,0.0194523810350802
8,1,2,0.221756470404216,0.0283886494580656,0.0327012365451083
8,2,1,0.223181608598679,-0.0416327137500048,0.0503994761966169
8,2,2,0.230791859328747,-0.0373391639441252,0.0155825582332909
9,1,1,0.262323192211625,0.0961847360304091,0.0234576543734875
9,1,2,0.297381956013851,0.0597149627283216,0.0410120383603498
9,2,1,0.29748323559761,0.0244612693786621,0.0216241776943207
9,2,2,0.33617302775383,-0.0145847797393799,0.00719988346099854
10,1,1,0.334241410251707,-0.0335135422646999,0.0356623507104814
10,1,2,0.343926044879481,-0.0115108243189752,0.0154058092739433
10,2,1,0.348755031824112,0.016582727432251,0.0210911929607391
10,2,2,0.348979562520981,0.014856219291687,0.00880423188209534
